"rxnID"	"name"	"specie"	"id"	"type"	"MetaID"	"note"
"r_1647"	"2-oxoglutarate[c]"	"s46"	"sa46"	"reactant"	"CDMT000046"	"base"
"r_1647"	"2-oxoglutarate[p]"	"s48"	"sa48"	"product"	"CDMT000048"	"base"
"r_1688"	"citrate[c]"	"s38"	"sa38"	"reactant"	"CDMT000038"	"base"
"r_1688"	"isocitrate[p]"	"s47"	"sa47"	"reactant"	"CDMT000047"	""
"r_1688"	"citrate[p]"	"s37"	"sa37"	"product"	"CDMT000037"	"base"
"r_1688"	"isocitrate[c]"	"s45"	"sa45"	"product"	"CDMT000045"	""
"r_1689"	"(S)-malate[c]"	"s43"	"sa43"	"reactant"	"CDMT000043"	""
"r_1689"	"citrate[p]"	"s37"	"sa37"	"reactant"	"CDMT000037"	"base"
"r_1689"	"(S)-malate[p]"	"s49"	"sa49"	"product"	"CDMT000049"	""
"r_1689"	"citrate[c]"	"s38"	"sa38"	"product"	"CDMT000038"	"base"
"r_1763"	"ethanol[c]"	"s1"	"sa1"	"reactant"	"CDMT00001"	"base"
"r_1763"	"ethanol[m]"	"s4"	"sa4"	"product"	"CDMT00004"	"base"
"r_1930"	"(S)-malate[p]"	"s49"	"sa49"	"reactant"	"CDMT000049"	"base"
"r_1930"	"oxaloacetate[c]"	"s22"	"sa22"	"reactant"	"CDMT000022"	""
"r_1930"	"(S)-malate[c]"	"s43"	"sa43"	"product"	"CDMT000043"	"base"
"r_1930"	"oxaloacetate[p]"	"s36"	"sa36"	"product"	"CDMT000036"	""
